"","type","fatalities","injuries","total"
"834","TORNADO",5633,91346,96979
"130","EXCESSIVE HEAT",1903,6525,8428
"856","TSTM WIND",504,6957,7461
"170","FLOOD",470,6789,7259
"464","LIGHTNING",816,5230,6046
"275","HEAT",937,2100,3037
"153","FLASH FLOOD",978,1777,2755
"427","ICE STORM",89,1975,2064
"760","THUNDERSTORM WIND",133,1488,1621
"972","WINTER STORM",206,1321,1527
"359","HIGH WIND",248,1137,1385
"244","HAIL",15,1361,1376
"411","HURRICANE/TYPHOON",64,1275,1339
"310","HEAVY SNOW",127,1021,1148
"957","WILDFIRE",75,911,986
"786","THUNDERSTORM WINDS",64,908,972
"30","BLIZZARD",101,805,906
"188","FOG",62,734,796
"585","RIP CURRENT",368,232,600
"955","WILD/FOREST FIRE",12,545,557
"586","RIP CURRENTS",204,297,501
"278","HEAT WAVE",172,309,481
"117","DUST STORM",22,440,462
"978","WINTER WEATHER",33,398,431
"848","TROPICAL STORM",58,340,398
"19","AVALANCHE",224,170,394
"140","EXTREME COLD",160,231,391
"676","STRONG WIND",103,280,383
"89","DENSE FOG",18,342,360
"290","HEAVY RAIN",98,251,349
"376","HIGH WINDS",35,302,337
"350","HIGH SURF",101,152,253
"142","EXTREME HEAT",96,155,251
"222","GLAZE",7,216,223
"877","TSUNAMI",33,129,162
"954","WILD FIRES",3,150,153
"141","EXTREME COLD/WIND CHILL",125,24,149
"417","ICE",6,137,143
"960","WIND",23,86,109
"79","COLD/WIND CHILL",95,12,107
"402","HURRICANE",61,46,107
"919","URBAN/SML STREAM FLD",28,79,107
"873","TSTM WIND/HAIL",5,95,100
"980","WINTER WEATHER/MIX",28,72,100
"342","HEAVY SURF/HIGH SURF",42,48,90
"442","LANDSLIDE",38,52,90
"66","COLD",35,48,83
"984","WINTRY MIX",1,77,78
"277","Heat Wave",0,70,70
"979","WINTER WEATHER MIX",0,68,68
"557","RECORD HEAT",2,50,52
"670","STORM SURGE",13,38,51
"851","TROPICAL STORM GORDON",8,43,51
"339","HEAVY SURF",7,40,47
"943","WATERSPOUT/TORNADO",3,42,45
"115","DUST DEVIL",2,42,44
"646","SNOW SQUALL",2,35,37
"435","ICY ROADS",5,31,36
"488","MARINE STRONG WIND",14,22,36
"489","MARINE THUNDERSTORM WIND",10,26,36
"656","SNOW/HIGH WINDS",0,36,36
"629","SNOW",5,29,34
"177","FLOOD/FLASH FLOOD",17,15,32
"936","WATERSPOUT",3,29,32
"101","DRY MICROBURST",3,28,31
"201","FREEZING RAIN",7,23,30
"888","UNSEASONABLY WARM AND DRY",29,0,29
"501","MIXED PRECIP",2,26,28
"680","STRONG WINDS",7,21,28
"886","UNSEASONABLY WARM",11,17,28
"164","FLASH FLOODING",19,8,27
"821","THUNDERSTORMW",0,27,27
"976","WINTER STORMS",10,17,27
"29","BLACK ICE",1,24,25
"842","TORNADOES, TSTM WIND, HAIL",25,0,25
"134","EXCESSIVE RAINFALL",2,21,23
"366","HIGH WIND AND SEAS",3,20,23
"146","EXTREME WINDCHILL",17,5,22
"279","HEAT WAVE DROUGHT",4,15,19
"195","FREEZING DRIZZLE",2,15,17
"490","MARINE TSTM WIND",9,8,17
"580","RECORD/EXCESSIVE HEAT",17,0,17
"671","STORM SURGE/TIDE",11,5,16
"838","TORNADO F2",0,16,16
"973","WINTER STORM HIGH WINDS",1,15,16
"224","GLAZE/ICE STORM",0,15,15
